key;severity;priority;changelog;num_comments;num_commenters;should_have_been_found;detection_phase;defect_root_cause;linked_fixes;linked_tasks
REPORT-0103;SEVERE;Normal;[('In Progress', '2025-12-01T10:31:50.397+0200'), ('In Progress', '2026-03-03T15:25:01.684+0200'), ('Closed', '2026-04-01T11:14:47.025+0300')];20;9;Code review;Verification;Code – component internal coding mistake;['FIX-0359'];['TASK-0047', 'TASK-0084']
REPORT-0104;SEVERE;Critical;[('In Progress', '2025-11-27T14:55:48.862+0200'), ('Closed', '2026-01-19T09:55:12.047+0200')];3;3;Code review;Verification;Code – interworking/interface with internal component;['FIX-0421', 'FIX-0467'];[]
REPORT-0105;FATAL;Critical;[('In Progress', '2025-11-27T14:16:14.064+0200'), ('Closed', '2025-11-27T14:17:32.796+0200')];5;3;Not a bug / Problem not reproducible;Verification;Incorrect configuration;[];[]
REPORT-0106;SEVERE;Normal;[('In Progress', '2025-11-27T09:49:54.850+0200'), ('Closed', '2025-12-01T15:08:46.136+0200')];3;3;Code review;Verification;Code – component internal coding mistake;['FIX-0129'];['TASK-0050']
REPORT-0107;FATAL;Critical;[('In Progress', '2025-11-25T09:24:36.264+0200'), ('Closed', '2025-11-27T14:14:44.953+0200')];10;3;Not a bug / Problem not reproducible;Verification;Incorrect configuration;[];['TASK-0313']
REPORT-0108;FATAL;Critical;[('In Progress', '2026-02-20T08:36:53.744+0200'), ('Closed', '2026-02-20T08:39:38.670+0200')];11;6;Not a bug / Problem not reproducible;Verification;Code – upgrade / incompatibility with previous release;[];[]
REPORT-0109;SEVERE;Normal;[('In Progress', '2026-01-13T13:57:49.476+0200'), ('Closed', '2026-01-19T10:02:08.691+0200')];9;6;Code review;Verification;Code – component internal coding mistake;['FIX-0204'];['TASK-0196']
REPORT-0110;FATAL;Critical;[('In Progress', '2025-11-25T08:15:29.519+0200'), ('Closed', '2025-11-25T08:17:25.272+0200')];8;4;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];[]
REPORT-0111;SEVERE;Normal;[('In Progress', '2025-11-20T08:00:14.011+0200'), ('In Progress', '2025-11-24T08:19:46.868+0200'), ('Closed', '2025-11-25T11:21:57.747+0200')];5;4;SW Unit / Module testing;Verification;Code – interworking/interface with internal component;['FIX-0481'];['TASK-0076']
REPORT-0112;SEVERE;Normal;[('In Progress', '2025-11-19T14:56:08.183+0200'), ('Closed', '2025-11-25T16:38:38.873+0200')];8;4;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];['TASK-0268']
REPORT-0113;FATAL;Critical;[('In Progress', '2025-11-20T08:13:25.253+0200'), ('Closed', '2025-12-03T15:02:39.473+0200')];7;3;Code review;Verification;ID content insufficient/missing;['FIX-0192', 'FIX-0112'];['TASK-0035']
REPORT-0114;SEVERE;Normal;[('In Progress', '2026-03-02T15:55:57.424+0200'), ('Closed', '2026-03-02T15:56:28.520+0200')];9;5;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0209', 'TASK-0146']
REPORT-0115;LOW;Normal;[('In Progress', '2025-11-20T10:03:27.805+0200'), ('Closed', '2025-11-20T10:11:15.198+0200')];4;3;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];[]
REPORT-0116;LOW;Normal;[('In Progress', '2026-02-11T08:16:25.613+0200'), ('In Progress', '2026-02-12T11:12:08.086+0200'), ('Closed', '2026-02-16T12:47:17.183+0200')];22;9;Code review;Verification;Code – interworking/interface with internal component;['FIX-0227'];['TASK-0265', 'TASK-0204', 'TASK-0190', 'TASK-0334', 'TASK-0138', 'TASK-0317', 'TASK-0205']
REPORT-0117;SEVERE;Normal;[('In Progress', '2026-01-26T16:03:47.349+0200'), ('Closed', '2026-01-28T14:34:35.269+0200')];3;2;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0184', 'TASK-0074']
REPORT-0118;SEVERE;Normal;[('In Progress', '2025-11-17T10:50:06.303+0200'), ('In Progress', '2025-11-24T08:30:29.994+0200'), ('Closed', '2025-12-02T08:46:48.204+0200')];1;1;Code review;Verification;Code – interworking/interface with internal component;['FIX-0361'];['TASK-0282', 'TASK-0179', 'TASK-0320']
REPORT-0119;SEVERE;Normal;[('In Progress', '2026-01-19T08:26:30.849+0200'), ('Closed', '2026-01-19T08:30:36.020+0200')];4;2;Not a bug / Problem not reproducible;Verification;No Root Cause;[];['TASK-0270']
REPORT-0120;FATAL;Normal;[('In Progress', '2025-12-12T09:26:36.938+0200'), ('Closed', '2026-01-07T12:23:56.598+0200')];7;2;Code review;Verification;Code – component internal coding mistake;['FIX-0007'];[]
REPORT-0121;FATAL;Critical;[('In Progress', '2025-11-19T11:11:16.591+0200'), ('Closed', '2025-11-22T12:17:57.457+0200')];1;1;Code review;Verification;Code – component internal coding mistake;['FIX-0450'];[]
REPORT-0122;SEVERE;Normal;[('In Progress', '2025-12-12T10:39:47.815+0200'), ('In Progress', '2026-01-20T09:12:11.785+0200'), ('Closed', '2026-02-27T12:02:33.201+0200')];50;8;Code review;Verification;ID content insufficient/missing;['FIX-0240', 'FIX-0299', 'FIX-0241', 'FIX-0086'];['TASK-0212', 'TASK-0162', 'TASK-0201']
REPORT-0123;FATAL;Critical;[('In Progress', '2025-11-14T15:22:17.633+0200'), ('In Progress', '2025-11-19T12:50:19.484+0200'), ('Closed', '2025-11-19T14:54:42.965+0200')];1;1;Code review;Verification;Code – component internal coding mistake;['FIX-0037'];['TASK-0152']
REPORT-0124;SEVERE;Normal;[('In Progress', '2025-11-13T09:57:15.882+0200'), ('Closed', '2025-11-19T08:10:16.913+0200')];2;2;Code review;Verification;Code – interworking/interface with internal component;['FIX-0148'];['TASK-0185']
REPORT-0125;FATAL;Critical;[('In Progress', '2025-11-12T09:27:45.491+0200'), ('Closed', '2025-11-17T16:07:34.276+0200')];5;2;Code review;Verification;ID content insufficient/missing;['FIX-0269'];['TASK-0016']
REPORT-0126;FATAL;Critical;[('In Progress', '2025-11-10T15:23:58.635+0200'), ('In Progress', '2025-11-11T09:33:09.703+0200'), ('Closed', '2025-12-13T13:40:08.702+0200')];6;2;ID review;Verification;Code – component internal coding mistake;['FIX-0099'];['TASK-0046']
REPORT-0127;SEVERE;Normal;[('In Progress', '2025-11-13T08:55:45.608+0200'), ('Closed', '2026-02-19T12:54:51.280+0200')];4;3;Not a bug / Problem not reproducible;Integration;Problem not re-producible ;[];['TASK-0034']
REPORT-0128;SEVERE;Normal;[('In Progress', '2025-11-11T13:37:29.564+0200'), ('In Progress', '2025-11-11T13:37:32.401+0200'), ('Closed', '2026-03-09T10:52:39.177+0200')];5;3;Code review;Verification;Code – component internal coding mistake;['FIX-0247', 'FIX-0248'];[]
REPORT-0129;LOW;Minor;[('In Progress', '2026-04-21T12:31:48.935+0300'), ('Closed', '2026-04-21T12:32:47.539+0300')];5;4;Not a bug / Problem not reproducible;Verification;No Root Cause;[];[]
REPORT-0130;SEVERE;Normal;[('In Progress', '2025-11-04T16:21:16.573+0200'), ('In Progress', '2025-11-06T14:46:27.212+0200'), ('Closed', '2025-11-17T11:03:20.730+0200')];7;4;Code review;Verification;Code – interworking/interface with internal component;['FIX-0323'];['TASK-0282', 'TASK-0051']
REPORT-0131;FATAL;Critical;[('In Progress', '2025-11-04T14:41:29.929+0200'), ('Closed', '2025-11-11T08:54:52.474+0200')];3;2;Code review;Verification;ID content insufficient/missing;['FIX-0159'];['TASK-0305']
REPORT-0132;SEVERE;Normal;[('In Progress', '2025-11-14T11:05:12.213+0200'), ('Closed', '2025-11-20T15:58:36.794+0200')];3;3;ID review;Verification;Code – component internal coding mistake;['FIX-0135'];['TASK-0067']
REPORT-0133;SEVERE;Normal;[('In Progress', '2025-11-05T10:32:58.453+0200'), ('Closed', '2025-11-17T09:21:28.036+0200')];4;3;Code review;Verification;Code – interworking/interface with internal component;['FIX-0485', 'FIX-0459'];['TASK-0331']
REPORT-0134;SEVERE;Normal;[('In Progress', '2025-11-03T16:12:34.088+0200'), ('In Progress', '2025-11-12T10:28:25.912+0200'), ('Closed', '2026-01-23T14:41:25.920+0200')];3;2;Code review;Verification;Code – component internal coding mistake;['FIX-0287'];['TASK-0036']
REPORT-0135;FATAL;Critical;[('In Progress', '2025-11-05T16:56:06.637+0200'), ('Closed', '2025-11-14T14:56:44.583+0200'), ('Open', '2025-12-31T10:35:11.355+0200'), ('In Progress', '2025-12-31T10:40:57.102+0200'), ('Closed', '2026-01-07T21:48:52.226+0200')];14;5;Code review;Verification;Code – component internal coding mistake;['FIX-0458'];['TASK-0045']
REPORT-0136;FATAL;Critical;[('In Progress', '2025-11-04T08:59:29.566+0200'), ('Closed', '2025-11-24T10:16:07.144+0200')];5;3;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0111']
REPORT-0137;FATAL;Critical;[('In Progress', '2025-11-18T11:19:31.877+0200'), ('Closed', '2025-11-18T11:20:44.251+0200')];9;4;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];[]
REPORT-0138;SEVERE;Normal;[('In Progress', '2025-10-30T14:27:56.454+0200'), ('In Progress', '2025-11-03T12:56:56.503+0200'), ('Closed', '2025-12-02T08:42:02.437+0200')];3;2;Code review;Verification;Code – interworking/interface with external component;['FIX-0473'];['TASK-0154', 'TASK-0282', 'TASK-0179', 'TASK-0332']
REPORT-0139;LOW;Normal;[('In Progress', '2025-11-05T09:41:22.821+0200'), ('Closed', '2025-11-10T10:51:23.662+0200')];8;4;Not a bug / Problem not reproducible;Integration;Misunderstanding by end user;[];[]
REPORT-0140;SEVERE;Normal;[('In Progress', '2025-10-29T12:27:55.264+0200'), ('In Progress', '2025-11-05T09:45:03.782+0200'), ('In Progress', '2025-11-05T09:45:09.319+0200'), ('In Progress', '2025-11-05T09:45:12.927+0200'), ('In Progress', '2025-11-05T09:46:41.981+0200'), ('Closed', '2026-03-03T16:53:59.793+0200')];1;1;I&V feature / integration testing;Verification;Code – component internal coding mistake;['FIX-0423', 'FIX-0360', 'FIX-0335', 'FIX-0010'];[]
REPORT-0141;SEVERE;Critical;[('In Progress', '2025-11-11T17:35:05.490+0200'), ('Closed', '2025-11-25T17:49:03.856+0200')];6;4;Code review;Verification;Code – interworking/interface with internal component;['FIX-0472'];['TASK-0289']
REPORT-0142;SEVERE;Normal;[('In Progress', '2025-11-10T13:03:48.200+0200'), ('Closed', '2025-12-03T14:54:36.249+0200')];6;4;ID review;Verification;ID content insufficient/missing;['FIX-0384', 'FIX-0074'];['TASK-0108', 'TASK-0015']
REPORT-0143;SEVERE;Normal;[('In Progress', '2025-10-28T11:02:27.299+0200'), ('Closed', '2026-03-06T07:35:52.487+0200')];9;6;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0066']
REPORT-0144;SEVERE;Normal;[('In Progress', '2025-12-29T08:56:59.636+0200'), ('Closed', '2025-12-31T09:47:05.456+0200')];3;2;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];[]
REPORT-0145;SEVERE;Critical;[('In Progress', '2025-11-14T09:12:53.698+0200'), ('In Progress', '2025-12-16T11:50:48.352+0200'), ('Closed', '2026-01-07T12:40:02.195+0200')];34;7;I&V feature / integration testing;Verification;Code – interworking/interface with external component;['FIX-0295'];['TASK-0274']
REPORT-0146;SEVERE;Critical;[('In Progress', '2025-10-28T15:45:03.776+0200'), ('Closed', '2025-11-07T13:39:12.912+0200')];7;4;Code review;Verification;Code – disinherited fix from other release;['FIX-0130'];['TASK-0113']
REPORT-0147;SEVERE;Normal;[('In Progress', '2025-10-24T17:06:51.072+0300'), ('In Progress', '2025-10-29T15:17:26.298+0200'), ('Closed', '2025-10-31T12:37:23.355+0200')];9;3;Code review;Verification;ID content insufficient/missing;['FIX-0409'];['TASK-0041']
REPORT-0148;FATAL;Critical;[('In Progress', '2025-10-23T11:06:25.657+0300'), ('In Progress', '2025-11-12T10:50:40.533+0200'), ('Closed', '2025-11-25T08:22:31.471+0200')];8;4;Code review;Verification;Code – component internal coding mistake;['FIX-0402', 'FIX-0482'];['TASK-0059']
REPORT-0149;SEVERE;Normal;[('In Progress', '2025-10-24T11:16:41.426+0300'), ('Closed', '2025-11-18T09:55:10.756+0200')];4;2;Code review;Verification;Code – component internal coding mistake;['FIX-0045'];['TASK-0011']
REPORT-0150;LOW;Minor;[('In Progress', '2025-10-27T09:52:15.944+0200'), ('Closed', '2025-11-05T10:27:30.010+0200')];4;2;Not a bug / Problem not reproducible;Verification;Incorrect configuration;[];['TASK-0298']
REPORT-0151;SEVERE;Critical;[('In Progress', '2025-10-22T13:19:47.383+0300'), ('Closed', '2026-02-18T08:58:06.758+0200')];20;9;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0233', 'TASK-0180']
REPORT-0152;SEVERE;Normal;[('In Progress', '2025-12-18T10:23:11.471+0200'), ('Closed', '2026-03-10T13:56:20.299+0200')];22;6;Code review;Verification;Code – component internal coding mistake;['FIX-0429', 'FIX-0337'];['TASK-0290']
REPORT-0153;SEVERE;Normal;[('In Progress', '2025-10-21T16:50:33.631+0300'), ('In Progress', '2025-10-28T13:13:40.865+0200'), ('Closed', '2025-10-31T12:07:57.168+0200')];4;2;Code review;Verification;Code – caused by previous fix;['FIX-0103'];['TASK-0154']
REPORT-0154;SEVERE;Normal;[('In Progress', '2025-11-06T15:43:01.936+0200'), ('Closed', '2025-11-06T15:45:39.327+0200')];10;3;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];[]
REPORT-0155;SEVERE;Critical;[('In Progress', '2025-10-20T14:37:24.663+0300'), ('In Progress', '2025-10-21T09:27:55.367+0300'), ('Closed', '2025-10-24T12:36:49.415+0300')];6;3;Not a bug / Problem not reproducible;Verification;No Root Cause;[];['TASK-0170']
REPORT-0156;SEVERE;Normal;[('In Progress', '2025-10-16T15:11:46.839+0300'), ('In Progress', '2025-10-20T14:37:55.406+0300'), ('In Progress', '2025-10-23T15:28:25.960+0300'), ('Closed', '2025-11-19T09:22:00.367+0200')];22;6;Code review;Verification;ID content insufficient/missing;['FIX-0481', 'FIX-0355', 'FIX-0375', 'FIX-0415'];['TASK-0040', 'TASK-0038']
REPORT-0157;SEVERE;Normal;[('In Progress', '2025-10-21T10:16:18.313+0300'), ('Closed', '2025-12-15T10:20:45.586+0200')];11;4;Code review;Verification;Code – component internal coding mistake;['FIX-0272'];['TASK-0063']
REPORT-0158;SEVERE;Normal;[('In Progress', '2025-10-14T09:38:33.933+0300'), ('Closed', '2025-10-23T08:24:07.067+0300')];3;3;Code review;Verification;Code – interworking/interface with internal component;['FIX-0094'];['TASK-0189', 'TASK-0116']
REPORT-0159;FATAL;Critical;[('In Progress', '2025-10-14T10:38:38.778+0300'), ('Closed', '2025-10-27T17:18:21.831+0200')];8;3;Code review;Verification;Code – component internal coding mistake;['FIX-0029'];['TASK-0319']
REPORT-0160;SEVERE;Normal;[('In Progress', '2025-10-14T09:59:45.796+0300'), ('Closed', '2025-10-18T09:04:09.008+0300')];2;2;Code review;Verification;Code – component internal coding mistake;['FIX-0477', 'FIX-0033'];['TASK-0126']
REPORT-0161;FATAL;Critical;[('In Progress', '2025-10-31T09:32:04.573+0200'), ('Closed', '2025-11-24T09:22:12.014+0200')];4;1;Code review;Verification;ID content insufficient/missing;['FIX-0125', 'FIX-0186'];[]
REPORT-0162;SEVERE;Critical;[('In Progress', '2025-11-03T09:41:06.993+0200'), ('Closed', '2026-01-21T09:09:37.784+0200')];50;9;Code review;Verification;Code – component internal coding mistake;['FIX-0416'];['TASK-0267']
REPORT-0163;SEVERE;Normal;[('In Progress', '2025-10-10T15:43:30.818+0300'), ('Closed', '2025-10-16T09:25:31.061+0300')];3;3;Code review;Integration;Code – component internal coding mistake;['FIX-0032'];['TASK-0242']
REPORT-0164;SEVERE;Normal;[('In Progress', '2025-10-14T06:16:37.240+0300'), ('Closed', '2025-11-03T10:56:33.934+0200')];5;3;Code review;Verification;Code – component internal coding mistake;['FIX-0223'];['TASK-0110']
REPORT-0165;SEVERE;Normal;[('In Progress', '2025-11-19T08:28:06.319+0200'), ('In Progress', '2025-11-28T10:39:02.018+0200'), ('Closed', '2025-12-02T14:46:02.966+0200')];8;6;Code review;Verification;Code – component internal coding mistake;['FIX-0258'];['TASK-0091']
REPORT-0166;SEVERE;Normal;[('In Progress', '2025-10-09T16:27:05.438+0300'), ('Closed', '2025-10-20T14:22:21.231+0300')];11;4;Not a bug / Problem not reproducible;HW: Integration / System testing;Misunderstanding by end user;[];['TASK-0218']
REPORT-0167;SEVERE;Normal;[('In Progress', '2025-10-22T16:15:58.514+0300'), ('In Progress', '2025-11-14T13:57:53.622+0200'), ('In Progress', '2025-11-14T13:58:08.426+0200'), ('Closed', '2025-11-18T09:54:19.188+0200')];5;4;Code review;Verification;ID content insufficient/missing;['FIX-0268', 'FIX-0238'];[]
REPORT-0168;SEVERE;Normal;[('In Progress', '2025-10-08T15:19:00.953+0300'), ('Closed', '2025-10-08T15:20:29.376+0300')];3;3;Not a bug / Problem not reproducible;Verification;ID content insufficient/missing;[];[]
REPORT-0169;SEVERE;Normal;[('In Progress', '2025-10-10T13:00:27.602+0300'), ('Closed', '2025-10-16T12:50:05.926+0300')];4;2;Code review;Verification;Code – component internal coding mistake;['FIX-0355', 'FIX-0375', 'FIX-0353'];['TASK-0003', 'TASK-0037']
REPORT-0170;SEVERE;Normal;[('In Progress', '2025-11-26T14:17:52.228+0200'), ('Closed', '2025-12-04T16:34:12.872+0200')];16;5;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0140']
REPORT-0171;SEVERE;Critical;[('In Progress', '2025-10-11T12:24:03.641+0300'), ('Closed', '2025-10-17T11:23:42.527+0300')];1;1;ID review;Verification;ID content insufficient/missing;['FIX-0145'];['TASK-0075']
REPORT-0172;SEVERE;Normal;[('In Progress', '2025-10-03T16:39:07.834+0300'), ('In Progress', '2025-10-06T10:10:30.102+0300'), ('In Progress', '2025-10-06T11:12:52.436+0300'), ('Closed', '2025-10-10T14:21:58.375+0300')];9;5;Code review;Verification;Code – interworking/interface with internal component;['FIX-0243', 'FIX-0453'];['TASK-0195']
REPORT-0173;SEVERE;Critical;[('In Progress', '2025-10-07T12:51:18.863+0300'), ('Closed', '2025-10-09T08:55:35.014+0300')];1;1;Code review;Verification;Code – component internal coding mistake;['FIX-0254'];['TASK-0254']
REPORT-0174;SEVERE;Normal;[('In Progress', '2025-11-12T10:39:44.220+0200'), ('In Progress', '2025-12-12T09:26:44.867+0200'), ('Closed', '2026-03-09T19:23:19.765+0200')];14;4;I&V Robustness / Stability testing;Customer;ID content insufficient/missing;['FIX-0073'];[]
REPORT-0175;SEVERE;Normal;[('In Progress', '2025-10-07T08:20:36.149+0300'), ('In Progress', '2025-10-09T09:48:05.546+0300'), ('Closed', '2025-10-13T12:39:43.254+0300'), ('Open', '2025-11-10T10:02:42.653+0200'), ('In Progress', '2025-11-11T11:26:10.475+0200'), ('Closed', '2025-12-16T08:47:32.055+0200')];11;3;Code review;Verification;ID content insufficient/missing;['FIX-0089'];['TASK-0322', 'TASK-0154', 'TASK-0282', 'TASK-0179', 'TASK-0199', 'TASK-0288', 'TASK-0001']
REPORT-0176;SEVERE;Critical;[('In Progress', '2025-10-03T09:14:17.130+0300'), ('In Progress', '2025-10-03T09:14:20.410+0300'), ('Closed', '2025-10-03T11:59:56.224+0300')];3;2;Code review;Verification;Code – caused by previous fix;['FIX-0309'];['TASK-0155']
REPORT-0177;FATAL;Critical;[('In Progress', '2025-10-01T09:59:29.303+0300'), ('Closed', '2025-10-01T14:14:28.051+0300')];4;3;Not a bug / Problem not reproducible;Verification;Duplicate;[];[]
REPORT-0178;SEVERE;Normal;[('In Progress', '2025-10-01T11:34:55.372+0300'), ('In Progress', '2025-10-02T08:54:01.434+0300'), ('In Progress', '2025-10-06T11:14:03.371+0300'), ('Closed', '2025-12-05T08:53:41.855+0200')];13;5;SW Unit / Module testing;Verification;Code – component internal coding mistake;['FIX-0133', 'FIX-0003'];['TASK-0250']
REPORT-0179;SEVERE;Critical;[('In Progress', '2025-09-30T18:44:48.125+0300'), ('Closed', '2025-11-25T08:24:43.984+0200')];2;1;Code review;Verification;Code – interworking/interface with external component;['FIX-0330'];['TASK-0033']
REPORT-0180;SEVERE;Critical;[('In Progress', '2025-11-17T09:06:05.901+0200'), ('Closed', '2025-12-09T09:16:52.870+0200')];8;3;I&V feature / integration testing;Verification;ID content insufficient/missing;['FIX-0400', 'FIX-0410'];['TASK-0277', 'TASK-0122']
REPORT-0181;SEVERE;Critical;[('In Progress', '2025-10-01T08:43:27.561+0300'), ('In Progress', '2025-10-01T15:20:21.909+0300'), ('Closed', '2025-10-02T07:56:39.035+0300')];2;2;Code review;Verification;ID content insufficient/missing;['FIX-0105'];['TASK-0123']
REPORT-0182;SEVERE;Normal;[('In Progress', '2025-10-02T09:45:57.377+0300'), ('In Progress', '2025-10-02T09:46:01.085+0300'), ('Closed', '2025-10-13T12:33:02.752+0300')];6;2;Code review;Verification;Code – caused by previous fix;['FIX-0142'];['TASK-0322', 'TASK-0154']
REPORT-0183;FATAL;Critical;[('In Progress', '2025-09-30T10:33:20.721+0300'), ('Closed', '2025-11-22T13:23:07.544+0200')];33;7;Code review;Verification;Code – component internal coding mistake;['FIX-0114'];['TASK-0333']
REPORT-0184;SEVERE;Normal;[('In Progress', '2025-09-29T08:17:14.802+0300'), ('Closed', '2025-10-08T13:18:41.157+0300')];3;3;Code review;Verification;Code – component internal coding mistake;['FIX-0413', 'FIX-0333'];['TASK-0158']
REPORT-0185;SEVERE;Normal;[('In Progress', '2025-10-13T12:13:44.298+0300'), ('Closed', '2025-12-22T08:43:05.685+0200')];24;6;Code review;Verification;Code – not according to the specification;['FIX-0196', 'FIX-0156'];['TASK-0208', 'TASK-0302', 'TASK-0265', 'TASK-0204', 'TASK-0190', 'TASK-0262']
REPORT-0186;SEVERE;Critical;[('In Progress', '2025-09-25T10:09:36.871+0300'), ('Closed', '2025-10-03T12:32:52.382+0300')];10;4;Code review;Verification;Code – component internal coding mistake;['FIX-0425'];['TASK-0266', 'TASK-0279']
REPORT-0187;SEVERE;Normal;[('In Progress', '2025-09-25T09:30:33.529+0300'), ('In Progress', '2025-09-30T09:19:27.174+0300'), ('In Progress', '2025-10-08T08:28:59.902+0300'), ('Closed', '2025-10-09T15:38:08.741+0300')];8;4;I&V feature / integration testing;Integration;ID content insufficient/missing;['FIX-0230', 'FIX-0408', 'FIX-0334'];['TASK-0094']
REPORT-0188;SEVERE;Critical;[('In Progress', '2026-01-22T07:31:24.403+0200'), ('Closed', '2026-01-30T10:28:52.855+0200')];31;9;Code review;Verification;Code – component internal coding mistake;['FIX-0326'];['TASK-0248']
REPORT-0189;FATAL;Normal;[('In Progress', '2025-09-22T09:06:21.094+0300'), ('In Progress', '2025-09-23T09:32:35.993+0300'), ('Closed', '2025-11-06T12:53:21.313+0200')];6;2;I&V feature / integration testing;Verification;No Root Cause;['FIX-0174'];['TASK-0220']
REPORT-0190;SEVERE;Normal;[('In Progress', '2025-09-26T13:16:49.698+0300'), ('Closed', '2025-09-26T13:22:10.682+0300')];2;1;Not a bug / Problem not reproducible;Integration;Misunderstanding by end user;[];[]
REPORT-0191;SEVERE;Normal;[('In Progress', '2025-11-06T12:55:36.132+0200'), ('Closed', '2025-11-13T16:28:05.868+0200')];1;1;Code review;Verification;Code – component internal coding mistake;['FIX-0136'];[]
REPORT-0192;SEVERE;Normal;[('In Progress', '2026-01-14T14:22:39.197+0200'), ('Closed', '2026-01-19T15:29:44.421+0200')];8;4;Code review;Verification;Code – component internal coding mistake;['FIX-0260'];['TASK-0092', 'TASK-0288', 'TASK-0055']
REPORT-0193;SEVERE;Normal;[('In Progress', '2025-09-19T12:31:45.325+0300'), ('Closed', '2025-10-20T10:54:46.833+0300')];2;2;Code review;Verification;Code – component internal coding mistake;['FIX-0436'];['TASK-0092', 'TASK-0181']
REPORT-0194;SEVERE;Normal;[('In Progress', '2025-10-20T15:55:37.791+0300'), ('Closed', '2025-11-14T13:09:46.622+0200')];2;2;Code review;Verification;Code – component internal coding mistake;['FIX-0048'];[]
REPORT-0195;SEVERE;Normal;[('In Progress', '2025-09-25T15:06:18.935+0300'), ('Closed', '2025-10-08T09:42:31.585+0300')];3;2;ID review;Verification;Code – component internal coding mistake;['FIX-0101'];[]
REPORT-0196;LOW;Normal;[('In Progress', '2025-09-24T09:20:42.069+0300'), ('In Progress', '2025-11-05T11:27:06.206+0200'), ('Closed', '2025-11-06T08:27:57.251+0200')];1;1;Code review;Verification;Code – component internal coding mistake;['FIX-0005'];['TASK-0265', 'TASK-0008']
REPORT-0197;SEVERE;Normal;[('In Progress', '2025-10-23T07:54:19.637+0300'), ('Closed', '2026-01-26T10:07:52.594+0200')];12;5;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0154', 'TASK-0282', 'TASK-0179', 'TASK-0199', 'TASK-0288', 'TASK-0012']
REPORT-0198;SEVERE;Normal;[('In Progress', '2025-09-23T15:00:42.681+0300'), ('In Progress', '2025-09-24T08:42:48.808+0300'), ('Closed', '2025-10-03T13:47:02.144+0300')];7;4;Code review;Verification;Code – component internal coding mistake;['FIX-0293'];['TASK-0064']
REPORT-0199;SEVERE;Critical;[('In Progress', '2025-10-13T08:56:10.774+0300'), ('Closed', '2026-01-19T12:29:35.475+0200')];0;0;Code review;Verification;Code – not according to the specification;['FIX-0226'];['TASK-0327']
REPORT-0200;FATAL;Critical;[('In Progress', '2025-09-10T15:08:35.417+0300'), ('In Progress', '2025-09-19T08:18:14.990+0300'), ('Closed', '2025-10-30T16:34:55.663+0200')];12;3;Code review;Verification;Code – component internal coding mistake;['FIX-0013'];['TASK-0243', 'TASK-0085']
REPORT-0201;FATAL;Critical;[('In Progress', '2025-10-10T08:58:25.570+0300'), ('Closed', '2025-11-03T17:35:14.996+0200')];5;4;ID review;Verification;ID content insufficient/missing;['FIX-0158'];['TASK-0238']
REPORT-0202;FATAL;Critical;[('In Progress', '2025-09-22T11:30:19.168+0300'), ('In Progress', '2025-09-23T07:43:33.162+0300'), ('Closed', '2025-09-24T13:37:51.770+0300')];2;2;Code review;Verification;Code – component internal coding mistake;['FIX-0001'];['TASK-0039']
REPORT-0203;LOW;Normal;[('In Progress', '2025-10-13T14:32:15.632+0300'), ('Closed', '2025-10-13T14:32:56.025+0300')];2;2;Not a bug / Problem not reproducible;Verification;Problem not re-producible ;[];['TASK-0112']
REPORT-0204;LOW;Normal;[('In Progress', '2025-09-25T09:09:41.200+0300'), ('In Progress', '2025-10-04T20:50:47.357+0300'), ('Closed', '2025-10-20T10:19:59.819+0300')];9;3;Code review;Verification;Code – component internal coding mistake;['FIX-0169'];['TASK-0322', 'TASK-0154']
REPORT-0205;SEVERE;Critical;[('In Progress', '2025-09-11T11:44:17.280+0300'), ('In Progress', '2025-09-15T13:39:57.051+0300'), ('In Progress', '2025-09-16T09:57:40.926+0300'), ('In Progress', '2025-09-16T10:07:49.307+0300'), ('Closed', '2025-11-19T14:36:43.186+0200')];8;6;SW I&V / Smoke testing;Implementation;Code – component internal coding mistake;['FIX-0172', 'FIX-0166'];['TASK-0311']
REPORT-0206;LOW;Normal;[('In Progress', '2025-09-09T10:10:30.564+0300'), ('Closed', '2025-09-11T10:20:51.779+0300')];5;4;Not a bug / Problem not reproducible;Verification;Misunderstanding by end user;[];['TASK-0061']
